Date,OAT,HWST,HWRT,HWDP,HWDPSPT,P1VFD,P2VFD
16-Feb-19 6:45:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 6:45:03 AM CST,13.7,nan,nan,nan,nan,nan,nan
16-Feb-19 7:00:02 AM CST,nan,166,nan,nan,nan,nan,nan
16-Feb-19 7:00:02 AM CST,nan,nan,166,nan,nan,nan,nan
16-Feb-19 7:00:02 AM CST,nan,nan,nan,9.96,nan,nan,nan
16-Feb-19 7:00:02 AM CST,nan,nan,nan,nan,nan,71.35,nan
16-Feb-19 7:00:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 7:00:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 7:00:03 AM CST,13.1,nan,nan,nan,nan,nan,nan
16-Feb-19 7:15:02 AM CST,nan,167,nan,nan,nan,nan,nan
16-Feb-19 7:15:02 AM CST,nan,nan,166,nan,nan,nan,nan
16-Feb-19 7:15:02 AM CST,nan,nan,nan,9.95,nan,nan,nan
16-Feb-19 7:15:02 AM CST,nan,nan,nan,nan,nan,72,nan
16-Feb-19 7:15:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 7:15:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 7:15:03 AM CST,13.4,nan,nan,nan,nan,nan,nan
16-Feb-19 7:30:02 AM CST,nan,165,nan,nan,nan,nan,nan
16-Feb-19 7:30:02 AM CST,nan,nan,164,nan,nan,nan,nan
16-Feb-19 7:30:02 AM CST,nan,nan,nan,9.88,nan,nan,nan
16-Feb-19 7:30:02 AM CST,nan,nan,nan,nan,nan,72.43,nan
16-Feb-19 7:30:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 7:30:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 7:30:03 AM CST,14.4,nan,nan,nan,nan,nan,nan
16-Feb-19 7:45:02 AM CST,nan,167,nan,nan,nan,nan,nan
16-Feb-19 7:45:02 AM CST,nan,nan,167,nan,nan,nan,nan
16-Feb-19 7:45:02 AM CST,nan,nan,nan,10.01,nan,nan,nan
16-Feb-19 7:45:02 AM CST,nan,nan,nan,nan,nan,71.82,nan
16-Feb-19 7:45:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 7:45:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 7:45:03 AM CST,15,nan,nan,nan,nan,nan,nan
16-Feb-19 8:00:02 AM CST,nan,163.72,nan,nan,nan,nan,nan
16-Feb-19 8:00:02 AM CST,nan,nan,163.12,nan,nan,nan,nan
16-Feb-19 8:00:02 AM CST,nan,nan,nan,9.95,nan,nan,nan
16-Feb-19 8:00:02 AM CST,nan,nan,nan,nan,nan,72.62,nan
16-Feb-19 8:00:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 8:00:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 8:00:03 AM CST,16.1,nan,nan,nan,nan,nan,nan
16-Feb-19 8:15:02 AM CST,nan,166,nan,nan,nan,nan,nan
16-Feb-19 8:15:02 AM CST,nan,nan,165,nan,nan,nan,nan
16-Feb-19 8:15:02 AM CST,nan,nan,nan,9.98,nan,nan,nan
16-Feb-19 8:15:02 AM CST,nan,nan,nan,nan,nan,72.26,nan
16-Feb-19 8:15:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 8:15:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 8:15:03 AM CST,16.4,nan,nan,nan,nan,nan,nan
16-Feb-19 8:30:02 AM CST,nan,170,nan,nan,nan,nan,nan
16-Feb-19 8:30:02 AM CST,nan,nan,168,nan,nan,nan,nan
16-Feb-19 8:30:02 AM CST,nan,nan,nan,10.01,nan,nan,nan
16-Feb-19 8:30:02 AM CST,nan,nan,nan,nan,nan,71.86,nan
16-Feb-19 8:30:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 8:30:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 8:30:03 AM CST,16.6,nan,nan,nan,nan,nan,nan
16-Feb-19 8:45:02 AM CST,nan,167,nan,nan,nan,nan,nan
16-Feb-19 8:45:02 AM CST,nan,nan,167,nan,nan,nan,nan
16-Feb-19 8:45:02 AM CST,nan,nan,nan,9.97,nan,nan,nan
16-Feb-19 8:45:02 AM CST,nan,nan,nan,nan,nan,71.62,nan
16-Feb-19 8:45:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 8:45:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 8:45:03 AM CST,18.5,nan,nan,nan,nan,nan,nan
16-Feb-19 9:00:02 AM CST,nan,167,nan,nan,nan,nan,nan
16-Feb-19 9:00:02 AM CST,nan,nan,166,nan,nan,nan,nan
16-Feb-19 9:00:02 AM CST,nan,nan,nan,9.96,nan,nan,nan
16-Feb-19 9:00:02 AM CST,nan,nan,nan,nan,nan,71.88,nan
16-Feb-19 9:00:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 9:00:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 9:00:03 AM CST,18.8,nan,nan,nan,nan,nan,nan
16-Feb-19 9:15:01 AM CST,nan,167,nan,nan,nan,nan,nan
16-Feb-19 9:15:01 AM CST,nan,nan,166,nan,nan,nan,nan
16-Feb-19 9:15:01 AM CST,nan,nan,nan,10,nan,nan,nan
16-Feb-19 9:15:01 AM CST,nan,nan,nan,nan,nan,71.68,nan
16-Feb-19 9:15:01 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 9:15:01 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 9:15:03 AM CST,20.1,nan,nan,nan,nan,nan,nan
16-Feb-19 9:30:02 AM CST,nan,170,nan,nan,nan,nan,nan
16-Feb-19 9:30:02 AM CST,nan,nan,169,nan,nan,nan,nan
16-Feb-19 9:30:02 AM CST,nan,nan,nan,10.09,nan,nan,nan
16-Feb-19 9:30:02 AM CST,nan,nan,nan,nan,nan,71.47,nan
16-Feb-19 9:30:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 9:30:03 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 9:30:03 AM CST,19.1,nan,nan,nan,nan,nan,nan
16-Feb-19 9:45:02 AM CST,nan,169,nan,nan,nan,nan,nan
16-Feb-19 9:45:02 AM CST,nan,nan,168,nan,nan,nan,nan
16-Feb-19 9:45:02 AM CST,nan,nan,nan,10,nan,nan,nan
16-Feb-19 9:45:02 AM CST,nan,nan,nan,nan,nan,71.76,nan
16-Feb-19 9:45:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 9:45:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 9:45:03 AM CST,20.9,nan,nan,nan,nan,nan,nan
16-Feb-19 10:00:02 AM CST,nan,167,nan,nan,nan,nan,nan
16-Feb-19 10:00:02 AM CST,nan,nan,167,nan,nan,nan,nan
16-Feb-19 10:00:02 AM CST,nan,nan,nan,9.96,nan,nan,nan
16-Feb-19 10:00:02 AM CST,nan,nan,nan,nan,nan,71.82,nan
16-Feb-19 10:00:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 10:00:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 10:00:03 AM CST,21,nan,nan,nan,nan,nan,nan
16-Feb-19 10:15:02 AM CST,nan,167,nan,nan,nan,nan,nan
16-Feb-19 10:15:02 AM CST,nan,nan,166,nan,nan,nan,nan
16-Feb-19 10:15:02 AM CST,nan,nan,nan,10,nan,nan,nan
16-Feb-19 10:15:02 AM CST,nan,nan,nan,nan,nan,72.26,nan
16-Feb-19 10:15:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 10:15:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 10:15:03 AM CST,21.6,nan,nan,nan,nan,nan,nan
16-Feb-19 10:30:02 AM CST,nan,169,nan,nan,nan,nan,nan
16-Feb-19 10:30:02 AM CST,nan,nan,168,nan,nan,nan,nan
16-Feb-19 10:30:02 AM CST,nan,nan,nan,9.97,nan,nan,nan
16-Feb-19 10:30:02 AM CST,nan,nan,nan,nan,nan,72.41,nan
16-Feb-19 10:30:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 10:30:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 10:30:03 AM CST,21.5,nan,nan,nan,nan,nan,nan
16-Feb-19 10:45:02 AM CST,nan,169,nan,nan,nan,nan,nan
16-Feb-19 10:45:02 AM CST,nan,nan,169,nan,nan,nan,nan
16-Feb-19 10:45:02 AM CST,nan,nan,nan,10.03,nan,nan,nan
16-Feb-19 10:45:02 AM CST,nan,nan,nan,nan,nan,71.44,nan
